x,y,z,qx,qy,qz,qw
-0.006595738,-0.0005887747,-0.014716238,-0.010349793,-0.0036110277,0.010501173,0.9998848
-0.0065656975,-0.0005478859,-0.014805257,-0.010833589,-0.0035393108,0.011008181,0.9998745
-0.006522202,-0.00054609776,-0.0148974955,-0.01070789,-0.0037640138,0.010764285,0.99987763
-0.0064953687,-0.00051653385,-0.014997065,-0.010564782,-0.0038679945,0.010748435,0.99987894
-0.0064549437,-0.00048553944,-0.0150952935,-0.010935246,-0.0039788047,0.011420354,0.9998671
-0.0064069554,-0.00046491623,-0.015185386,-0.010882016,-0.004087077,0.011195667,0.99986976
-0.0063601993,-0.0004376173,-0.015281439,-0.010912821,-0.004245784,0.011284462,0.99986774
-0.0063095223,-0.00041615963,-0.015377015,-0.0112247085,-0.0043935175,0.011406247,0.9998623
-0.0062520094,-0.00038194656,-0.015479118,-0.011270268,-0.0044189165,0.011292045,0.99986297
-0.0061993813,-0.00037395954,-0.015577942,-0.011220296,-0.0045355996,0.0111611895,0.99986446
-0.0061384793,-0.00035262108,-0.01567337,-0.011641758,-0.004598198,0.01125509,0.9998583
-0.006071453,-0.00033283234,-0.015782267,-0.011699258,-0.004894177,0.011140981,0.99985754
-0.005994837,-0.00032174587,-0.015890032,-0.012008404,-0.0049320795,0.011226847,0.9998527
-0.005931454,-0.00031733513,-0.015990615,-0.01216804,-0.005151386,0.011189324,0.9998501
-0.0058537144,-0.00030517578,-0.016099721,-0.012168087,-0.0053271325,0.011015897,0.99985105
-0.005779218,-0.00029051304,-0.016223162,-0.0123401005,-0.0055120764,0.010960823,0.9998486
-0.0057150302,-0.00027310848,-0.01634264,-0.012572799,-0.0054951287,0.010854223,0.99984694
-0.0056341495,-0.00025737286,-0.01645121,-0.012642872,-0.005623181,0.010683058,0.99984723
-0.005557933,-0.00025892258,-0.016579717,-0.012742146,-0.0056498083,0.010414596,0.9998486
-0.0054803854,-0.00024163723,-0.016699374,-0.013078631,-0.0057133585,0.010238212,0.99984574
-0.005396366,-0.00022411346,-0.016818613,-0.013002699,-0.005958248,0.009996362,0.99984777
-0.0053110467,-0.0002156496,-0.01693973,-0.013243524,-0.0059219846,0.010200147,0.99984276
-0.0052295607,-0.00022220612,-0.017066836,-0.013594271,-0.0058765593,0.010302623,0.9998372
-0.005136811,-0.00021982193,-0.017184734,-0.013530473,-0.0060755974,0.010184472,0.9998381
-0.0050535016,-0.00020933151,-0.017302066,-0.013550333,-0.006250164,0.0104879625,0.99983364
-0.004967735,-0.00021862984,-0.017419338,-0.0133610265,-0.006414508,0.010323978,0.99983686
-0.004881273,-0.00021028519,-0.017555863,-0.013033669,-0.0066805724,0.010363266,0.99983907
-0.0047864877,-0.00019729137,-0.0176858,-0.012955839,-0.00687282,0.01004088,0.99984205
-0.004689372,-0.00018334389,-0.01782152,-0.013073853,-0.0069980016,0.009733474,0.99984264
-0.0046003284,-0.00018942356,-0.0179573,-0.013104784,-0.0072581386,0.00930987,0.99984443
-0.0045037074,-0.00018501282,-0.018095374,-0.013433911,-0.007382466,0.009562718,0.9998368
-0.004400788,-0.00016403198,-0.018235058,-0.01379789,-0.0074797613,0.00947419,0.9998319
-0.0043054437,-0.00014686584,-0.01836449,-0.0141430115,-0.0074323723,0.0093584675,0.9998286
-0.004204151,-0.00013077259,-0.018495142,-0.014702077,-0.0074984967,0.009368215,0.99981993
-0.004107438,-0.00012624264,-0.018624634,-0.01491345,-0.007617844,0.008993867,0.99981934
-0.0040107276,-9.8109245e-05,-0.0187715,-0.015427714,-0.007742474,0.009272144,0.999808
-0.0039070677,-8.690357e-05,-0.01891917,-0.016060032,-0.007800975,0.009440376,0.99979603
-0.003807378,-4.9471855e-05,-0.019064844,-0.016593495,-0.007823792,0.009887482,0.9997828
-0.003716668,-5.340576e-05,-0.019218892,-0.017018119,-0.007942865,0.010194707,0.99977165
